,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Still,Walk,Run,Cycle,RPM/SPM,Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman
1393,69.7,-2.77,-7.32,6.5,0.789,-0.568,0.631,0.182,-0.34700000000000003,0.276,0.0,0.0,0.0,1.0,30.0,69700000000.0,-3.1794830434903227,-7.4305716099586965,6.329426789564312,0.7558814390688654,-0.4967004289631065,0.5733087954999676,-0.30566672922098903,-0.3213024519226423,0.2848602062749454
1394,69.8,-3.95,-7.49,6.83,0.889,-0.495,0.585,-0.993,-0.867,0.22699999999999998,0.0,0.0,0.0,1.0,30.0,69800000000.0,-3.6263078648033717,-7.474879013837968,6.6362256325888485,0.8570352742865803,-0.4955016425071306,0.5817536527156459,-0.6844755102062695,-0.6279370800146202,0.24827704326562505
1395,69.8,-3.33,-6.12,6.92,0.973,-0.484,0.616,-0.292,0.107,-0.0257,0.0,0.0,0.0,1.0,30.0,69800000000.0,-3.4544781165773153,-6.46473204692842,6.810149611065893,0.9451542847910157,-0.4873930679257644,0.6064907117232147,-0.46817115855362873,-0.21496625775574107,0.07505010337722148
1396,69.9,-3.95,-5.58,7.76,0.985,-0.664,0.5660000000000001,-0.316,-0.32299999999999995,-0.39799999999999996,0.0,0.0,0.0,1.0,30.0,69900000000.0,-3.7418325774371333,-5.8051090206767695,7.392308442046134,0.9754321692011152,-0.6118996284424959,0.5772431662281948,-0.3843053390834348,-0.27567184772143544,-0.22404438067092516
1397,69.9,-3.88,-4.66,7.57,0.857,-0.659,0.479,-0.9279999999999999,0.716,-0.0824,0.0,0.0,0.0,1.0,30.0,69900000000.0,-3.8219562926789643,-4.951358649879488,7.501214840218012,0.8854381905398244,-0.6451050268892383,0.5062794758910817,-0.6839508227032001,0.28156163190124334,-0.1344871603942381
1398,70.0,-2.6,-5.02,8.51,0.914,-0.848,0.616,0.23399999999999999,-0.0634,0.534,0.0,0.0,0.0,1.0,30.0,70000000000.0,-3.1133405946870116,-5.002535047031511,8.11949450605098,0.9071416556471354,-0.7881444722815987,0.5855335708944901,-0.17804217451502324,0.08772314880438636,0.28817592320874585
1399,70.0,-2.48,-5.0,7.87,0.9490000000000001,-0.765,0.753,0.168,-0.507,-0.43799999999999994,0.0,0.0,0.0,1.0,30.0,70000000000.0,-2.7460647422545734,-5.000645011222113,7.966580464751102,0.9389488820737708,-0.7718277807545215,0.7064991099910535,0.012671449515238686,-0.24645963528703024,-0.17096193286315597
1400,70.1,-2.15,-2.88,8.18,0.787,-0.664,0.536,0.368,1.18,-0.384,0.0,0.0,0.0,1.0,30.0,70100000000.0,-2.4004052981580943,-3.41957186184314,8.097384448534683,0.8234863035405321,-0.6958099765837301,0.5833430083966509,0.20850305951857287,0.5550867858155746,-0.3056591056561174
1401,70.1,-1.12,-3.6,7.76,0.873,-0.153,0.488,1.24,0.0414,-1.03,0.0,0.0,0.0,1.0,30.0,70100000000.0,-1.6578949274414103,-3.554092230756559,7.8906032987198795,0.8611106807581095,-0.3131329636702705,0.514474182787028,0.7769901899599425,0.2664394176533596,-0.7636367175229789
1402,70.2,-1.78,-2.86,7.86,0.575,0.0733,0.297,0.634,0.39899999999999997,-1.06,0.0,0.0,0.0,1.0,30.0,70200000000.0,-1.7287039610470516,-3.0366030666024755,7.871846767381005,0.6437015233134162,-0.04070059044544011,0.3573867014270892,0.6981842556596698,0.34092694807276,-0.9510177263394405
1403,70.2,-2.15,-2.93,8.37,0.312,0.23,0.218,0.38799999999999996,0.0918,-0.607,0.0,0.0,0.0,1.0,30.0,70200000000.0,-1.973014688666418,-2.957123875647667,8.177162394373529,0.3916489116759268,0.1501413226825907,0.2567039192530142,0.5272329495029888,0.20093923401399857,-0.7335062931738453
1404,70.3,-2.17,-2.32,8.01,0.0357,0.294,0.03,0.495,0.578,-0.9670000000000001,0.0,0.0,0.0,1.0,30.0,70300000000.0,-2.0872470289638163,-2.482108204852525,8.074709514919144,0.12117124417818287,0.2515606239315893,0.09294955606731942,0.5094684624072829,0.4128146480902718,-0.8811369168084315
1405,70.3,-2.7,-2.61,8.31,-0.322,0.341,0.0373,0.109,0.341,-0.613,0.0,0.0,0.0,1.0,30.0,70300000000.0,-2.4425841034326243,-2.5774594434211755,8.218918167784972,-0.2155847338122444,0.31461471469730895,0.05275238030258215,0.28875896974897675,0.3724610465545458,-0.7116024865974462
1406,70.4,-2.6,-2.63,8.12,-0.5539999999999999,0.428,-0.0482,0.377,0.529,-0.6729999999999999,0.0,0.0,0.0,1.0,30.0,70400000000.0,-2.5338699373080846,-2.616631793457599,8.158291632977205,-0.472738989577604,0.39455050275788095,-0.020168250124944977,0.337391098402246,0.4604223367266452,-0.6871953524622918
1407,70.4,-1.68,-2.83,8.06,-0.6890000000000001,0.602,-0.14,1.5,0.613,-0.55,0.0,0.0,0.0,1.0,30.0,70400000000.0,-2.038708502164204,-2.7757110538189513,8.09804942563185,-0.6370709336392969,0.5408008596255267,-0.1067259593804277,0.9781377320042719,0.5461577209716989,-0.6004511172647458
