,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Time (s).1,Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Time (s).2,Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Sitting,Walking,Running,Biking,RPM,COUNT,Time(m),Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman
3234,161.7712929,-4.943571568,-1.430010676,7.645367622,161.81867219999998,0.3897447586,0.4773497581,-0.2380175591,166.72263130000002,0.144618094,0.1357607991,0.06360447407,0,0,0,1,32,,,-4.6069359049268055,-1.235882545294375,7.704152839475633,0.10378185347083044,0.10293239325785816,0.006997481319747034,0.5035916728124974,0.5688334156903871,-0.5521791861585785
3235,161.8212929,-5.082355499,-2.303989172,7.721937656000001,161.8686722,0.1421823502,-0.12353014949999999,-1.058623314,166.7741664,0.354978621,0.02168507688,0.1541625708,0,0,0,1,32,,,-4.872456489282049,-1.9547796009684206,7.713175677613321,0.28821723254470666,0.04627341145657986,0.1107462606114688,0.31538910705346634,0.2309271194747506,-0.8180379750425685
3236,161.87129290000001,-5.33150816,-3.594318628,6.714260101,161.91867219999997,-0.1887793541,0.16430616380000002,-0.7999978065000001,166.82570159999997,0.4466820657,-0.045202698560000004,0.22303560379999998,0,0,0,1,32,,,-5.128835631439682,-3.05828345533061,7.206392077020619,0.40456634748088055,-0.017518766346986778,0.18990825696361313,0.052845248842312176,0.19841292964787124,-0.8085677549645962
3237,161.9212929,-5.635396481,-3.8147575860000003,6.721438885,161.9686722,-1.03447628,-0.22616720199999998,-0.21793460850000002,166.8772367,0.6226824522,-0.07353074104,0.3119902313,0,0,0,1,32,,,-5.411748524116097,-3.567433957071521,6.960358947957863,0.5647130199522683,-0.05657952054712431,0.2759738846894551,-0.513373408912545,-0.008802335498768854,-0.49851378375222827
3238,161.9712929,-6.614659308999999,-5.026124001,6.735795975,162.0186722,-0.49042510990000004,-0.8351039886,0.5383448600999999,166.92877180000002,0.7292752862,-0.2768665254,0.3745257258,0,0,0,1,32,,,-6.083571011944548,-4.549216066830963,6.8464305691917655,0.6855390331770387,-0.21019982403185916,0.3454511856595148,-0.5014231672055427,-0.41207677861847547,0.04578709405552267
3239,162.0212929,-5.843871117000001,-6.290132523,7.602296829,162.06867219999998,-1.24830389,-1.014904022,0.33350801469999997,166.98030690000002,0.9943066239,-0.571600318,0.2638860047,0,0,0,1,32,,,-5.949699255228486,-5.720952748304509,7.229907044997943,0.9122444490392283,-0.4622276437852896,0.2879491789907058,-0.8903585365443267,-0.7062850983442431,0.19682672765556455
3240,162.0712929,-6.281757832,-6.630212307000001,6.9080791470000005,162.1186722,0.167986393,-0.1599698067,0.37327575679999997,167.03184209999998,1.207645059,-0.4004867375,0.6285618544,0,0,0,1,32,,,-6.135153090705232,-6.332936611376196,7.066632885882532,1.1291354701438188,-0.41917173693147464,0.528075077039706,-0.3392293356399875,-0.43965729459034664,0.2894539744290692
3241,162.12129290000001,-5.046463013,-6.170491219,6.774080753,162.16867219999997,-0.8200125694,-0.08865070343,0.8479852676,167.0833772,1.314466953,-0.8296069503,0.5284592509,0,0,0,1,32,,,-5.527122565384161,-6.223601539689018,6.918211310910431,1.26521079739226,-0.7053946218205741,0.5283459128199244,-0.5895954233443916,-0.2683494107902009,0.5826560179155771
3242,162.1712929,-6.0424752239999995,-6.5775704379999995,6.932007313,162.2186722,-0.2020149231,-0.4081249237,0.4449830055,167.13491230000002,1.249564409,-0.81166327,0.683079958,0,0,0,1,32,,,-5.81494566012354,-6.461842921883156,6.925210488483043,1.2537228011279475,-0.7795025883516149,0.6374306716532484,-0.3877643138164156,-0.33656649824018686,0.510384313434619
3243,162.2212929,-5.178068161000001,-6.733103752000001,6.338288307000001,162.2686722,-0.8971805573,-0.1799025536,0.2746295929,167.18644740000002,1.191992044,-0.7903599739,0.7337039112999999,0,0,0,1,32,,,-5.459251263552401,-6.644417027610241,6.627445048277703,1.2083984300369401,-0.7870741419490113,0.7053015989582994,-0.653040935209906,-0.26010705415247726,0.3866244334350983
