,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman
55,2.81,-7.67,-3.7,3.46,0.308,1.06,0.8,0.893,-0.622,-0.195,2810000000.0,-8.162829162856053,-4.10732964926835,3.646179129945518,0.20805166560035193,0.5871472952231911,1.0353767853246298,0.010117536821309114,-0.33863282592696353,-0.2440496588793455
56,2.86,-5.91,-4.72,-0.163,-0.27,1.75,-0.975,2.85,-1.69,-3.36,2860000000.0,-7.34841124445469,-4.376248384849075,2.0689150991060226,-0.15191563167595684,1.3673631613269586,-0.4031368577017356,1.1908145536247672,-0.9220934899255041,-1.6749724677615467
57,2.91,-8.1,-4.93,1.22,-0.0535,0.183,-0.316,0.713,-1.52,-1.41,2910000000.0,-7.620117430211706,-4.619305991320307,1.717405453753699,-0.07780981726547055,0.5727148561698637,-0.3407865872838768,0.9921604737912277,-1.180243095872787,-1.553290423163688
58,2.96,-4.43,-4.79,-0.429,-0.972,0.384,-2.92,4.15,-0.807,-2.99,2960000000.0,-6.466861424990981,-4.69422853717465,0.82864491383944,-0.7511245242265331,0.4460966510058427,-2.186328067518569,2.3050500015403506,-1.019093209773526,-2.213063641935366
59,3.01,-7.82,-6.0,-0.369,0.0987,1.21,-2.15,0.271,-0.7020000000000001,-1.97,3010000000.0,-6.956033167304875,-5.26736959185573,0.3327369611137097,-0.11121663779306645,0.9586375260191685,-2.1603337945421712,1.459382308187189,-0.8821863811619736,-2.1014427102934725
60,3.06,-4.78,-5.05,-0.524,-1.08,-1.05,-2.83,2.63,1.14,-2.2,3060000000.0,-6.169377818198745,-5.171959842630362,-0.02201148425236199,-0.8406991629162892,-0.38905752031842955,-2.639509568298884,1.9460732244472263,-0.00909565274038815,-2.146702721321646
61,3.11,-6.12,-7.55,0.359,-1.47,-1.49,-1.3,0.308,-0.29,-1.12,3110000000.0,-6.151527254536565,-6.21575088263188,0.13575366262460486,-1.3145553232731066,-1.1277347356075065,-1.681031113528566,1.265035096494209,-0.13037773529208413,-1.6752149812474395
62,3.16,-8.24,-10.2,1.03,-0.629,0.451,-1.64,-2.43,-2.43,-0.161,3160000000.0,-6.906528722216624,-7.964553561303971,0.5060335808125169,-0.798340223204937,-0.06848287340978665,-1.6516715243667808,-0.2711964896039267,-1.123253055480387,-0.9798493328324134
63,3.21,-7.68,-9.53,1.2,-0.5379999999999999,0.29,-0.619,-2.28,-1.38,0.391,3210000000.0,-7.186145435241927,-8.651673394612668,0.7933837706422651,-0.6023070836460858,0.172041156762924,-0.9127493260935681,-1.1063677999272197,-1.2341050404019587,-0.35032079966000085
64,3.26,-7.26,-8.06,1.71,0.0589,1.15,-0.56,-2.09,0.244,1.07,3260000000.0,-7.212844602767774,-8.391970925559063,1.172926401363352,-0.1044259169340439,0.828202495300385,-0.6603415623297912,-1.5153183663595902,-0.5959245888108887,0.3019262996665856
65,3.31,-7.68,-7.63,1.88,0.762,-0.0226,-1.13,-2.83,0.868,1.32,3310000000.0,-7.381725389151165,-8.057519785559794,1.4657038497286798,0.5479826401443445,0.2573566748518926,-0.9964029714204516,-2.061904594859551,0.03613335656541594,0.7694514022991502
66,3.36,-6.4,-8.96,2.28,1.67,-1.42,-0.759,-2.06,-0.249,1.07,3360000000.0,-7.026822927289443,-8.45364460412297,1.8028788521346255,1.392848501043658,-0.8680655320839864,-0.8265306335957076,-2.061112725078462,-0.08697462808516179,0.9074709103400728
67,3.41,-3.27,-11.6,0.192,1.02,-2.46,-1.19,0.581,-2.85,-2.02,3410000000.0,-5.668697878576447,-9.834671621460709,1.1358634190100214,1.1120979447217507,-1.9361737751368318,-1.0866091036233803,-0.9626395583687948,-1.2799268657652354,-0.4368974373837694
68,3.46,-3.51,-11.8,1.39,1.55,-0.371,-1.41,-0.521,-2.98,-1.63,3460000000.0,-4.8883093118784355,-10.697311463927006,1.2410935622024155,1.441833013022461,-0.8860206354661613,-1.3180095885133722,-0.7790254473321098,-2.013943340270006,-0.9848001745703551
69,3.51,-3.16,-13.3,1.94,1.06,-1.5,-0.0714,-0.654,-4.58,-1.82,3510000000.0,-4.263510090480564,-11.839707208019579,1.5304892658912987,1.1543171959846976,-1.2979700076452914,-0.42600521895392407,-0.7270454100806663,-3.1218531987888833,-1.3683449890368882
70,3.56,-1.98,-10.7,1.44,0.995,-1.26,-0.325,0.203,-2.22,-2.94,3560000000.0,-3.438000804777124,-11.339456498652284,1.4930204651200714,1.0343532222734058,-1.272494029716219,-0.3537315029181999,-0.3403738187768466,-2.732472845827413,-2.0900885710171684
71,3.61,-0.826,-7.15,1.37,0.75,-1.13,-0.295,1.11,1.08,-3.59,3610000000.0,-2.493739176121961,-9.500582292959642,1.4420814726434148,0.8202385857982407,-1.176887676415133,-0.3117065020818828,0.2626272341468635,-1.0864154961807775,-2.778885627937955
72,3.66,-0.536,-7.24,1.52,0.0748,-1.12,-0.16699999999999998,1.08,0.9109999999999999,-3.69,3660000000.0,-1.7859989834735017,-8.508346907482288,1.4743451326547492,0.2589320860038753,-1.1387189007635137,-0.208162587973986,0.6024545621615103,-0.22401972951922688,-3.1972923159552433
73,3.71,-0.314,-6.2,2.09,-0.485,-1.24,0.131,0.96,2.01,-3.12,3710000000.0,-1.2538582077620553,-7.495146260885568,1.7292688599284995,-0.3012400476064523,-1.2066734470932847,0.03452326267649683,0.7511060736739189,0.7405312815032702,-3.161797685674465
74,3.76,-1.31,-6.55,3.85,-0.688,-0.175,0.5529999999999999,-0.192,1.81,-1.16,3760000000.0,-1.2741539463938882,-7.080294174669998,2.6073984200224434,-0.5924657666280808,-0.5144722843158682,0.405516311550964,0.3590044351315,1.2022805978875462,-2.242521767314647
75,3.81,-2.11,-8.28,5.46,-0.0663,0.0177,0.0777,-0.86,0.17,0.643,3810000000.0,-1.5763197221050849,-7.606879820448863,3.7885730957562593,-0.1962691224295649,-0.15741136180060145,0.1709492197437581,-0.14780349932151188,0.7565874449934457,-0.917417510533381
76,3.86,-3.1,-9.32,6.08,0.278,-0.8390000000000001,0.6409999999999999,-1.73,-0.956,1.15,3860000000.0,-2.127143716651208,-8.35881793484916,4.737382534576823,0.16084995403434288,-0.6147231581078504,0.5072913512945803,-0.8056105733193475,0.017167865013228867,0.03199265744828983
77,3.91,-1.69,-10.4,4.93,-0.547,0.617,-0.0256,-0.147,-2.02,-0.00233,3910000000.0,-1.9691123794720804,-9.254751914329281,4.817139437207132,-0.3721527404153129,0.21170131853161678,0.12598398908145758,-0.5317895347763173,-0.8623912041605686,0.016230828873459047
78,3.96,0.134,-11.6,4.16,-0.256,0.49,-0.735,1.85,-3.08,-0.369,3960000000.0,-1.2088184693963082,-10.284149644493834,4.545038125563655,-0.28469110032103556,0.39842578788716143,-0.4900881968151488,0.4584528282133471,-1.819856670269648,-0.16067686237063306
79,4.01,-0.821,-10.5,-0.524,-1.97,0.602,-0.841,0.517,-1.79,-4.81,4010000000.0,-1.0686186217165112,-10.37889264043924,2.446105202982183,-1.5537089283730559,0.5350138768853738,-0.7411811479345765,0.48279415126859254,-1.8069658627125502,-2.2957630920203416
80,4.06,-0.151,-8.27,-0.6970000000000001,-1.67,0.9059999999999999,-0.544,0.972,0.8759999999999999,-4.06,4060000000.0,-0.7368912918684358,-9.4532385545611,1.1446419082542734,-1.6412747070860054,0.78392697852474,-0.6000893249339863,0.6861842269016005,-0.6485797482782896,-3.1059450778171307
81,4.11,0.414,-8.23,-0.19399999999999998,-2.09,1.39,-1.48,1.27,1.22,-2.7,4110000000.0,-0.3208338091761373,-8.916323391678088,0.5903514252725561,-1.9791595174768846,1.1905715812924906,-1.2297043962942962,0.9289088999208347,0.15819044128303827,-2.9195248981817845
82,4.16,-1.15,-10.4,0.922,-1.08,0.569,-1.43,-0.897,-0.695,-0.664,4160000000.0,-0.6205847841359284,-9.567552019100653,0.7276769054661378,-1.30210299429167,0.7735282161379518,-1.3730247339554102,0.16977703129841615,-0.21017949228304994,-1.8837310586460876
83,4.21,-0.594,-10.5,0.845,-0.852,0.183,-0.484,-0.8059999999999999,-0.72,-0.231,4210000000.0,-0.6109741406815816,-9.976830544801881,0.7762568056720808,-0.9631807248796069,0.3773133877058829,-0.7368881615853666,-0.23590773798000675,-0.430297474839743,-1.1247553431782467
84,4.26,0.304,-10.3,0.376,-0.804,0.505,-0.285,-0.0728,-0.541,-0.297,4260000000.0,-0.28020282037982214,-10.118679097158944,0.6105227561457548,-0.8433195237972034,0.46298469987750696,-0.41354216607684735,-0.16809478266166633,-0.47809393782070286,-0.7446292423422757
85,4.31,1.04,-9.42,-0.359,-1.53,0.726,0.00252,0.586,0.371,-0.618,4310000000.0,0.1970622766263777,-9.812008563836322,0.20907317526731078,-1.3603818353665738,0.6394547875313219,-0.11583125951526602,0.14542436172490375,-0.11149269386857713,-0.6864778923449798
86,4.36,0.261,-9.73,-0.201,-0.405,1.27,-0.006640000000000001,-0.21,0.061,-0.0274,4360000000.0,0.22017633734977055,-9.776012420199148,0.039274471985410425,-0.6409905357576681,1.0625190003602556,-0.037700077301604684,-0.002345306696272309,-0.0370179694792197,-0.38381272844244974
87,4.41,-2.47,-11.4,0.467,-0.0681,0.8809999999999999,0.0654,-2.8,-1.56,0.79,4410000000.0,-0.7523464459246205,-10.48882761193731,0.21638247320694673,-0.2096106897172847,0.9407288396082296,0.036072591937341636,-1.1654859112402898,-0.6945742967471726,0.15523164321231342
88,4.46,-2.4,-12.1,1.91,0.7909999999999999,1.0,0.303,-2.68,-2.3,2.14,4460000000.0,-1.34798795601443,-11.19601817835173,0.9176574359955305,0.543837413338654,0.9804968167132202,0.22707097637134652,-1.7951536628322708,-1.3877261634696305,1.0666872977908777
89,4.51,-2.83,-12.1,3.07,2.1,0.373,0.8059999999999999,-2.84,-2.29,2.67,4510000000.0,-1.8837485187428464,-11.592802246665585,1.808876327235453,1.7156094912344848,0.5728969064043177,0.6413203284357448,-2.229554349971545,-1.7772881251055992,1.8029688974989886
