,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),SPM/RPM,Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman
478,23.9,-0.848,-8.63,0.637,1.89,-0.426,0.754,0.5870000000000001,1.07,0.5760000000000001,60.0,23900000000.0,-1.2971418116660853,-10.078680958455756,0.7438675880257575,1.5582056273789604,-0.4045837393377291,0.6393815194880779,-0.010365418490649314,-0.3687292027011313,1.068651101594375
479,24.0,0.685,-10.7,-1.59,2.06,-0.9620000000000001,0.6459999999999999,2.44,-1.15,-2.68,60.0,24000000000.0,-0.3774300795238543,-10.32540170998006,-0.41859819921278607,1.9231955208794291,-0.7732031040613767,0.6439277613778612,1.2201125154275814,-0.6780614484120318,-0.8045244168778856
480,24.0,-1.3,-12.2,-0.462,1.3,-1.14,0.45,0.588,-2.78,-2.46,60.0,24000000000.0,-0.8055015372337131,-11.06978963778742,-0.4402160161227695,1.4699020553720614,-1.0157658709287807,0.5107191070828555,0.9026902736094697,-1.5102919448658123,-1.6317543366339389
481,24.1,-1.41,-10.5,1.48,0.809,-0.684,0.479,0.58,-1.22,-1.11,60.0,24100000000.0,-1.0859881773058278,-10.84353072505277,0.516215884534611,0.9891820515142683,-0.7963691204846153,0.4889313083976119,0.7406478005016265,-1.3953552885645368,-1.3710372468458245
482,24.1,-0.752,-8.41,0.503,0.48200000000000004,-0.894,0.35600000000000004,1.33,0.695,-2.49,60.0,24100000000.0,-0.931017999809221,-9.877195056648427,0.5096332535879453,0.620273278093161,-0.8609324140924206,0.3976210253042626,1.0365975013864936,-0.5677109999248457,-1.9301753365274021
483,24.2,-0.457,-9.16,1.27,-0.0131,-0.872,0.315,1.62,-0.11699999999999999,-1.9,60.0,24200000000.0,-0.7110741369622184,-9.592402569213178,0.8883609492717967,0.15957685675443894,-0.86825139444787,0.34086878333481757,1.3295594754755748,-0.38925885386276404,-1.9150969139785172
484,24.2,-0.0023899999999999998,-8.84,1.79,-0.0877,-0.604,0.299,2.08,0.19399999999999998,-1.39,60.0,24200000000.0,-0.3822454373745797,-9.29362958101771,1.3374543318409997,-0.02028479479037018,-0.6935019369038449,0.31210918455700404,1.7064013880067397,-0.15832640509367463,-1.6527095467062487
485,24.3,-0.0718,-8.39,1.86,-0.0644,-0.409,0.11699999999999999,2.02,0.642,-1.35,60.0,24300000000.0,-0.23819907902046625,-8.934805630427755,1.5977267965527016,-0.05237285242382889,-0.5053608206768619,0.17808901999776214,1.8638783654293034,0.15855063504115124,-1.5014476549022857
486,24.3,-1.32,-9.1,3.39,-0.0577,-0.172,-0.069,0.735,-0.0624,0.196,60.0,24300000000.0,-0.7401536011718838,-9.000403146215103,2.4904322710327604,-0.05624765774450276,-0.2849093237841194,0.00836399786797315,1.2969997038969054,0.0710686020163222,-0.6532445976817302
487,24.4,-1.98,-8.5,2.91,-0.0443,-0.188,-0.12300000000000001,-0.0168,0.561,-0.275,60.0,24400000000.0,-1.3154410445403042,-8.801697054908702,2.6994129457102494,-0.04755729640104138,-0.22082318660353717,-0.0818697089070511,0.6372607545358057,0.26504946177247773,-0.4642383451958867
