,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),SPM/RPM,Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman
57,2.9,-6.28,-9.75,4.06,0.132,-0.0727,-0.7759999999999999,-2.13,-1.95,-0.19399999999999998,60.0,2900000000.0,-5.281963854646877,-8.541871940733754,4.025372938071416,-0.039304790782711374,-0.04307302480389531,-0.6594541028973677,-0.9082350630475459,-1.0577874681286412,-0.32649056045561997
58,2.95,-1.13,-7.08,-0.565,-0.691,-0.0892,-0.779,2.7,0.893,-4.81,60.0,2950000000.0,-3.74413305584771,-8.024362528802191,1.7222516775781829,-0.512978042301879,-0.07297969246698058,-0.741530452766876,0.5474954754056679,-0.3730395504191819,-2.592350798017761
59,3.0,-2.98,-8.72,-0.00958,-0.9179999999999999,0.11199999999999999,-1.41,2.3,1.27,-4.4,60.0,3000000000.0,-3.461108598477593,-8.270621484876209,0.853342241938122,-0.8073611546631534,0.046952875592557244,-1.2004800800466873,1.2545376185928747,0.20368544517067377,-3.5058942562894506
60,3.05,-1.24,-8.27,0.67,-0.865,0.542,-1.63,1.6,0.446,-2.82,60.0,3050000000.0,-2.638440263394432,-8.270401638424495,0.7613542089759411,-0.8492549480421994,0.36791930452623206,-1.4953746128529886,1.3939132850267963,0.28874052968737,-3.159259390331958
61,3.1,-2.88,-11.7,0.915,-1.21,0.87,-2.18,-0.8540000000000001,-2.5,-1.95,60.0,3100000000.0,-2.727910738396337,-9.48449515131761,0.8384427031506423,-1.111456206212571,0.6934459924817282,-1.9654163879577704,0.4870001055570393,-0.6901381515625737,-2.5481281474244293
62,3.15,-5.02,-12.4,-0.306,-0.578,0.52,-0.2,-3.52,-2.99,-2.67,60.0,3150000000.0,-3.576869339701597,-10.516597130654205,0.2642431022048387,-0.7237229011478048,0.5809913499244063,-0.753338387261627,-1.1296108453564702,-1.4974150274945126,-2.609719355148702
63,3.2,-2.67,-7.7,1.49,-1.14,0.0415,0.287,-1.02,1.79,-0.345,60.0,3200000000.0,-3.240977330287764,-9.519508735458217,0.8792403656134377,-1.0262866180483954,0.2312092675798499,-0.039075574370870614,-1.0853887041156227,-0.3434961113253674,-1.4651834344699497
64,3.25,-1.84,-9.75,0.0718,-0.7509999999999999,0.363,-0.195,-0.217,-0.195,-1.41,60.0,3250000000.0,-2.7220744427494448,-9.60110370230826,0.4741244640396483,-0.8261993459956303,0.31665649228364234,-0.1461282555485163,-0.7350401465465843,-0.291372336065895,-1.4372950071451898
65,3.3,-0.182,-8.72,0.10300000000000001,-0.62,0.479,-0.00848,1.42,0.892,-0.96,60.0,3300000000.0,-1.7812655033537388,-9.289189037186308,0.28792071651856543,-0.6763269619030667,0.42191276891606666,-0.05162339911411487,0.13440366578070717,0.12400441145213337,-1.1960813205716718
66,3.35,-1.87,-9.94,0.721,-0.375,0.6809999999999999,-0.361,-0.297,-0.29100000000000004,-0.0532,60.0,3350000000.0,-1.8141315527250668,-9.519578960220421,0.5052089751155755,-0.4573127308051662,0.5898933471835837,-0.26403140483373716,-0.03964471472008077,-0.02166671681253085,-0.6184959690313784
