,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Time (s).1,Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Time (s).2,Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Sitting,Walking,Running,Bikking,Unnamed: 16,Unnamed: 17,Unnamed: 18,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman,Acceleration x (m/s^2)_kalman_max_freq,Acceleration y (m/s^2)_kalman_max_freq,Acceleration z (m/s^2)_kalman_max_freq,Gyroscope x (rad/s)_kalman_max_freq,Gyroscope y (rad/s)_kalman_max_freq,Gyroscope z (rad/s)_kalman_max_freq,Linear Acceleration x (m/s^2)_kalman_max_freq,Linear Acceleration y (m/s^2)_kalman_max_freq,Linear Acceleration z (m/s^2)_kalman_max_freq,0,1,2,3,4,5,0_max_freq,1_max_freq,2_max_freq,3_max_freq,4_max_freq,5_max_freq,RPM
30,30,30,30,1.500985282,-6.404090881,-6.967600346,3.889234066,1.643499709,3.971856594,2.474145889,0.92689991,1.64130372,-0.207840785,0.408733159,-1.83246541,0,0,0,1,,,,-7.17388509,-7.047403887,2.76322355,-0.158625368,0.232047844,-1.673617343,3.229991881,1.897575784,0.453969908,,,,,,,,,,-2.296466155,0.444007257,3.861555995,-3.478195915,-1.616873488,-0.439587796,,,,,,,64
31,31,31,31,1.550985282,-3.478266716,-5.231906891,3.166003466,1.693499709,3.971856594,2.474145889,0.92689991,1.69130372,0.417361379,-0.677735031,-0.052303795,0,0,0,1,,,,-5.202419894,-5.766409522,2.953818814,0.300865161,-0.422036791,-0.453540329,3.755091995,2.309761226,0.792646285,,,,,,,,,,-1.481016005,-0.843420809,4.220853762,-2.241685279,-2.143174364,0.448314368,,,,,,,64
32,32,32,32,1.600985282,-2.07786727,-4.755435944,3.968197346,1.743499709,-2.678601742,-1.377543926,-2.290574789,1.74130372,0.442253411,-0.851292014,-0.194707558,0,0,0,1,,,,-3.535595529,-5.053077878,3.433822251,0.413656926,-0.730648058,-0.258762511,-0.798748155,-0.326264282,-1.415321359,,,,,,,,,,0.126561381,-0.239462028,4.223851741,-0.297520947,0.708532508,1.062946738,,,,,,,64
33,33,33,33,1.650985282,-9.600004196,-9.160622597,2.337787628,1.793499709,0.686822891,1.604552746,1.315002203,1.79130372,0.126369029,-0.156224191,-0.287861764,0,0,0,1,,,,-6.77071599,-7.951315468,2.915179191,0.184474452,-0.317668395,-0.280660392,0.252755593,1.054061654,0.539928017,,,,,,,,,,0.190261349,0.44411585,4.202434837,-2.463966059,-0.929267065,0.139503812,,,,,,,64
34,34,34,34,1.700985282,-9.600004196,-9.160622597,2.337787628,1.843499709,0.686822891,1.604552746,1.315002203,1.84130372,-0.102164201,-0.129499614,-0.018478129,0,0,0,1,,,,-8.28002855,-8.804589046,2.641957779,-0.044190091,-0.182385228,-0.083362002,0.559993266,1.447603414,1.094977001,,,,,,,,,,0.324054221,0.596881401,4.247098869,-3.417705714,-1.343171444,-0.203916673,,,,,,,64
35,35,35,35,1.750985282,-4.517350197,-5.923731327,5.529214859,1.893499709,0.686822891,1.604552746,1.315002203,1.89130372,0.29381752,0.213414758,-0.708430111,0,0,0,1,,,,-6.272789526,-6.771888076,4.008206452,0.22545378,0.102173535,-0.553740624,0.649764689,1.559805259,1.25254226,,,,,,,,,,-0.525070432,0.750185775,2.8413275,-2.070486266,-1.367687615,-0.190735809,,,,,,,64
36,36,36,36,1.800985282,-6.413661957,-7.975576878,2.921935558,1.943499709,0.351956844,-0.056947231,-0.111446858,1.94130372,0.466305524,-0.747600675,-0.703696013,0,0,0,1,,,,-6.347939357,-7.621197425,3.494183583,0.417592047,-0.508768118,-0.666585621,0.438972976,0.404001595,0.275757344,,,,,,,,,,0.243866575,0.349847011,3.686849677,-2.004552993,-0.651754005,0.495869964,,,,,,,64
37,37,37,37,1.850985282,-5.290830135,-9.629914284,3.652045488,1.993499709,0.216159344,-1.067935467,-1.427191257,1.99130372,-0.27220881,-0.489288658,-0.752487481,0,0,0,1,,,,-5.784013695,-9.038525563,3.568883761,-0.132693116,-0.494763441,-0.731228814,0.281263003,-0.648274656,-0.943764487,,,,,,,,,,0.202347858,0.227142321,3.747637595,-1.604152205,0.063993823,0.091019398,,,,,,,64
38,38,38,38,1.900985282,-4.414458752,-8.502297401,3.470191002,2.043499709,0.216159344,-1.067935467,-1.427191257,2.04130372,-0.666816115,-0.066658705,-0.814717531,0,0,0,1,,,,-5.053410686,-8.660168973,3.522182395,-0.558787051,-0.186979312,-0.79405606,0.235181907,-0.948286875,-1.289957848,,,,,,,,,,-0.388340032,0.427792693,3.748007953,-1.31093857,0.437324214,-0.41774046,,,,,,,64
39,39,39,39,1.950985282,-4.27567482,-8.830412865,2.914757013,2.093499709,0.216159344,-1.067935467,-1.427191257,2.09130372,0.235099837,0.024052111,-0.055205323,0,0,0,1,,,,-4.638519581,-8.780291158,3.234748994,0.074532219,-0.035259143,-0.238053304,0.221717525,-1.033822714,-1.388233943,,,,,,,,,,-0.017931871,-0.090035883,4.129665361,-1.117040624,0.453060791,-0.95714418,,,,,,,64
40,40,40,40,2.000985282,-4.493422031,-8.835198402,3.362514019,2.143499709,-0.563131094,-1.468317032,-0.53508091,2.14130372,0.926960707,-0.273659587,-0.277859151,0,0,0,1,,,,-4.561115818,-8.819033095,3.295207343,0.754552756,-0.206656156,-0.268008151,-0.333807077,-1.344439291,-0.777270847,,,,,,,,,,0.692519524,0.109573391,4.173562686,-0.871886604,0.419196699,-0.683737159,,,,,,,64
41,41,41,41,2.050985282,-4.337888241,-7.997112274,5.028815746,2.193499709,0.877345085,2.56481123,-0.317008019,2.19130372,0.128125206,-0.499367625,-0.779593825,0,0,0,1,,,,-4.442032797,-8.239094961,4.115550012,0.25482333,-0.417099856,-0.652988541,0.523459925,1.450253219,-0.447665733,,,,,,,,,,-0.420741349,-0.106904278,3.300003407,-0.973246933,-1.164393263,0.438855915,,,,,,,64
42,42,42,42,2.100985282,-4.254139423,-9.553344727,3.640081406,2.243499709,0.877345085,2.56481123,-0.317008019,2.24130372,-0.465236545,-0.563735664,-0.334744304,0,0,0,1,,,,-4.341799167,-9.166414889,3.890558495,-0.319600812,-0.522523063,-0.413502182,0.773943787,2.247041992,-0.354098649,,,,,,,,,,-0.576836372,-0.19397174,3.622950449,-1.093304513,-1.722656493,0.546604565,,,,,,,64
43,43,43,43,2.150985282,-1.668395638,-3.477070332,4.537988186,2.293499709,0.877345085,2.56481123,-0.317008019,2.29130372,-0.009544488,-0.315655321,-0.553122222,0,0,0,1,,,,-2.915644873,-5.152077033,4.196921916,-0.07225494,-0.373796356,-0.518569584,0.847132378,2.474212726,-0.32753717,,,,,,,,,,-1.452759021,-0.271422581,3.258666682,-0.355619294,-1.337468838,0.947627812,,,,,,,64
