,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),SPM/RPM,Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman,Acceleration x (m/s^2)_kalman_max_freq,Acceleration y (m/s^2)_kalman_max_freq,Acceleration z (m/s^2)_kalman_max_freq,Gyroscope x (rad/s)_kalman_max_freq,Gyroscope y (rad/s)_kalman_max_freq,Gyroscope z (rad/s)_kalman_max_freq,Linear Acceleration x (m/s^2)_kalman_max_freq,Linear Acceleration y (m/s^2)_kalman_max_freq,Linear Acceleration z (m/s^2)_kalman_max_freq,0,1,2,3,4,5,0_max_freq,1_max_freq,2_max_freq,3_max_freq,4_max_freq,5_max_freq
39,39,39,39,1.99,-5.25,-11.6,1.97,0.333,-0.246,0.326,-7.9,-4.09,7.67,60.0,1990000000.0,-6.181645929898652,-10.30895946560676,1.9863669866669729,0.3773332289645762,-0.2978347613867041,-0.2982067041522385,-8.429568453801828,-2.874422652478128,7.837421750001157,,,,,,,,,,0.491641828846918,-7.063894664915169,3.4622648155064195,1.2724650910161113,-0.3674156353944978,0.6230509125005997,,,,,,
40,40,40,40,2.04,-4.03,-8.9,2.25,0.542,-0.585,0.16899999999999998,-6.45,-1.21,7.84,60.0,2040000000.0,-5.183284562334828,-9.749472767455817,2.1176787866917905,0.4971068170908979,-0.4877371109136136,0.022716778066455057,-7.435506319020917,-2.2154199064456805,7.838710160254692,,,,,,,,,,-0.08583377512395958,-5.879374363141147,3.5863159032902114,1.113071954521085,-0.0009327158149953057,0.7138964877373777,,,,,,
41,41,41,41,2.09,-3.23,-8.51,2.32,0.375,-0.191,0.122,-6.29,-1.07,7.71,60.0,2090000000.0,-4.276962573708452,-9.257288125363687,2.2184520305310875,0.4082900393836619,-0.29150486809397463,0.0909142535775044,-6.860277721642362,-1.7619083868096703,7.774394586763289,,,,,,,,,,0.07071217428910992,-5.075235608176113,3.3723516725822873,0.8714761957304951,0.35548090447224845,0.6014971426180145,,,,,,
42,42,42,42,2.14,-3.09,-8.63,2.13,0.121,-0.0867,0.248,-5.21,-0.674,7.46,60.0,2140000000.0,-3.726213139003673,-9.008197068049974,2.174395407384379,0.199324019045256,-0.1560674148545762,0.19881618012475044,-6.0315726592722365,-1.3311676651768551,7.6172937669854415,,,,,,,,,,0.2046209921894171,-4.380910131982596,3.1548069894665614,0.6821374259471613,0.5126093836811703,0.5144699062806894,,,,,,
43,43,43,43,2.19,-2.09,-4.55,2.79,1.29,0.332,-1.11,-4.12,3.48,8.04,60.0,2190000000.0,-2.9670119110696005,-7.237882707586538,2.4810191535107418,0.992648462928486,0.16669154365305786,-0.7002074151747917,-5.0716553977664605,0.5737407927135907,7.828517180467446,,,,,,,,,,1.777564199236214,-3.1675643639022155,3.308688978612812,0.6332105898146365,1.933987316907389,0.8361908527693884,,,,,,
44,44,44,44,2.24,-3.13,-5.6,2.68,-0.964,-1.49,-1.61,-5.78,2.34,7.8,60.0,2240000000.0,-3.042638267256032,-6.587492532675341,2.5801286753367085,-0.4305579930053047,-0.9288785309832146,-1.3251423884185751,-5.4273585242847835,1.2730641503885385,7.814267434457848,,,,,,,,,,3.1966961215963834,-2.7325963287585098,3.7915553201214576,0.712696086962185,0.1722080768914564,2.7909242532774217,,,,,,
45,45,45,45,2.29,-3.3,-5.66,2.66,-1.57,-0.8690000000000001,-1.09,-6.06,1.74,8.47,60.0,2290000000.0,-3.1620538204096897,-6.219192597717076,2.6199114724526256,-1.2593534240484734,-0.8892808718999853,-1.163623508735606,-5.745046360347124,1.4579402814565727,8.141932675491871,,,,,,,,,,3.722463972950808,-2.7461888077640304,3.952285608109708,0.7813553430868007,-0.23955859851687825,2.939554757088224,,,,,,
46,46,46,46,2.34,-2.17,-7.82,2.69,-0.7929999999999999,-0.934,-2.03,-5.15,-0.934,9.0,60.0,2340000000.0,-2.7017419189547227,-6.854860495407348,2.654821585229094,-0.920142142416842,-0.9188536400673268,-1.7587360124264246,-5.4462373434981215,0.5108880062058421,8.570703087377492,,,,,,,,,,3.9169248305944793,-3.0918095167137065,3.4172208035458045,-0.11432794175615114,-0.325174983629801,3.210455565896094,,,,,,
47,47,47,47,2.39,-2.78,-7.91,4.58,-0.769,-1.31,-1.93,-6.07,-1.61,11.3,60.0,2390000000.0,-2.738053573574452,-7.273847901874029,3.613725137550355,-0.8102059493719942,-1.1775186783667209,-1.876376915215788,-5.759466697919454,-0.3288452547518585,9.934514305612137,,,,,,,,,,3.638319210506989,-3.682354841519695,3.8864859478804363,-0.7953368291567331,-0.6828111216400066,3.3031076372346635,,,,,,
48,48,48,48,2.44,0.737,-12.0,2.29,-1.13,0.527,-1.23,-2.8,-6.22,9.38,60.0,2440000000.0,-1.1256323490894082,-9.150565139647878,2.954396727343207,-1.0428143930272664,-0.05032052065764714,-1.43238173578454,-4.273337970296609,-2.6613580328940967,9.657427331951652,,,,,,,,,,2.817238522504128,-3.804872645991169,1.7228596649458685,-2.5183469116137323,-0.4608771850226683,1.8494103979794403,,,,,,
