,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),SPM/RPM,Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman,Acceleration x (m/s^2)_kalman_max_freq,Acceleration y (m/s^2)_kalman_max_freq,Acceleration z (m/s^2)_kalman_max_freq,Gyroscope x (rad/s)_kalman_max_freq,Gyroscope y (rad/s)_kalman_max_freq,Gyroscope z (rad/s)_kalman_max_freq,Linear Acceleration x (m/s^2)_kalman_max_freq,Linear Acceleration y (m/s^2)_kalman_max_freq,Linear Acceleration z (m/s^2)_kalman_max_freq,0,1,2,3,4,5,0_max_freq,1_max_freq,2_max_freq,3_max_freq,4_max_freq,5_max_freq
41,41,41,41,2.05,-6.57,-8.1,0.0431,-0.358,0.0165,-0.569,-2.98,-4.33,1.34,90.0,2050000000.0,-6.921874546090031,-5.838073483609168,0.11237985385956856,-0.1408964070820653,-0.2322062695628984,-1.0261277160625897,-1.3819647258125654,-1.3367871315555857,1.0920229672243724,,,,,,,,,,0.4149968537120189,1.152371867215456,1.7078824896639508,2.0074383464538177,0.1839353651334088,2.5453207398072673,,,,,,
42,42,42,42,2.1,-8.56,-12.4,0.747,-0.903,-0.338,-0.445,-1.26,-0.482,1.73,90.0,2100000000.0,-7.5743798468792605,-8.512847826914834,0.4348337104498869,-0.7129171066115982,-0.3065767525519549,-0.6188696288739861,-1.3259905966723702,-0.9762478181029108,1.434578347051042,,,,,,,,,,-0.008654358054290946,1.2777155580972337,1.3999573209588243,2.2193593734266277,0.6695287989567591,2.8633250688442415,,,,,,
43,43,43,43,2.15,-6.7,-8.59,0.879,-0.493,-0.337,-0.399,-1.44,0.459,2.02,90.0,2150000000.0,-7.22609305239795,-8.544296681564148,0.6605169656266958,-0.5478514404809058,-0.3279635826569561,-0.4647835555798375,-1.378313755900698,-0.3708769172848952,1.7489146222661427,,,,,,,,,,-0.1620080498853365,1.124542107194996,1.4552974149392923,2.115670488783548,0.59949567264892,2.6493636293240184,,,,,,
44,44,44,44,2.2,-6.68,-7.76,0.948,-0.0736,-0.16899999999999998,-0.14400000000000002,-0.985,0.241,2.02,90.0,2200000000.0,-7.0085708648894505,-8.224601521020327,0.8065886294801355,-0.19188718136711214,-0.21621595411564,-0.2399763496032224,-1.197807529230897,-0.11279432267721935,1.8944711869297173,,,,,,,,,,-0.4020080738116773,0.9941513159762728,1.5387084853851225,2.0022246520431035,0.5793979266210142,2.360393858264158,,,,,,
45,45,45,45,2.25,-6.15,-8.02,0.912,0.63,0.0354,-0.315,-0.7390000000000001,-0.175,3.12,90.0,2250000000.0,-6.666581285657838,-8.141201972875526,0.860148707011259,0.42500595996719903,-0.03933590647095725,-0.29255340996867224,-0.9872437907563548,-0.1390319555535509,2.5525065310391706,,,,,,,,,,-0.5384390957627477,0.9903583384578604,1.5086983022715321,1.8626451301998792,0.5788592870069859,2.0270137959772225,,,,,,
46,46,46,46,2.3,-5.86,-8.48,2.08,0.537,-0.588,-0.789,-0.972,1.29,1.78,90.0,2300000000.0,-6.345300433071567,-8.279302741989332,1.4799615898609937,0.5090665919223353,-0.4250337508930329,-0.6404663906753836,-0.9802478525468772,0.4637171539730688,2.1377168811727683,,,,,,,,,,-0.4431425752870243,0.8096716222576934,1.6874776422266924,1.795155897828564,0.5420724150435793,2.097736696103414,,,,,,
47,47,47,47,2.35,-5.87,-7.17,1.07,-0.241,-1.66,-0.7070000000000001,-1.37,-0.264,1.75,90.0,2350000000.0,-6.155976687117763,-7.827128449235232,1.271657955055915,-0.05391935945440785,-1.293185710119562,-0.6870935887523093,-1.159119534091822,0.15677448856479326,1.9295361901739307,,,,,,,,,,-0.4460012014019085,0.664178351127047,1.7722666099129918,1.6500637286044335,-0.00558926983522704,2.5266793423307026,,,,,,
48,48,48,48,2.4,-5.99,-8.91,1.42,0.913,-0.508,-0.705,-1.25,-0.16399999999999998,1.22,90.0,2400000000.0,-6.089864052399876,-8.268528820618393,1.3470313142548012,0.6718322161951382,-0.7412187900204114,-0.6996425064944328,-1.2008279420221666,0.021475523078704983,1.5485578640401951,,,,,,,,,,-0.5912423436294162,0.6900360111866845,1.6483136552986717,1.7917043688640202,0.34506946423514023,2.0548257016000773,,,,,,
49,49,49,49,2.45,-5.75,-8.88,1.37,-0.8959999999999999,-2.2,-0.461,-0.463,0.397,0.473,90.0,2450000000.0,-5.954487950158597,-8.517776936911622,1.3587018279106164,-0.5049533396976376,-1.766707415372326,-0.5324002830053034,-0.8622114032464114,0.17986740377955426,0.971047850154626,,,,,,,,,,-0.5906869637615799,0.3847406287975144,1.664290422789237,1.61317664150231,-0.07986857008283904,2.712370451381724,,,,,,
50,50,50,50,2.5,-4.59,-8.49,0.883,-0.204,-1.55,-0.616,-1.07,-0.735,1.07,90.0,2500000000.0,-5.410979337563199,-8.506454400073132,1.1169952105377503,-0.27906338939728303,-1.6143672086241163,-0.5909875059397586,-0.9575733015131074,-0.2060130757734867,1.024179242803384,,,,,,,,,,-0.5100123965164676,0.3336668984219628,1.479811533630616,1.5434285009001916,-0.17051074385861434,2.4010322899219894,,,,,,
