,Unnamed: 0,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Time (s).1,Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Time (s).2,Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Sitting,Walking,Running,Biking,RPM,COUNT,Time(m),Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman,Acceleration x (m/s^2)_kalman_max_freq,Acceleration y (m/s^2)_kalman_max_freq,Acceleration z (m/s^2)_kalman_max_freq,Gyroscope x (rad/s)_kalman_max_freq,Gyroscope y (rad/s)_kalman_max_freq,Gyroscope z (rad/s)_kalman_max_freq,Linear Acceleration x (m/s^2)_kalman_max_freq,Linear Acceleration y (m/s^2)_kalman_max_freq,Linear Acceleration z (m/s^2)_kalman_max_freq
48,48,2.471292925,-4.871787071,-13.52752399,7.310372352999999,2.518672195,0.5691204071,-2.917385578,-0.408782959,2.534163706,-0.2019613683,-0.03436015919,0.1332410574,0,0,0,1,32,,,-4.2409376429079515,-11.651355219074825,6.545933440039307,-0.05175540094803671,-0.3908335156360818,-0.1841718449373838,-0.12305046746373538,-2.655983221135987,0.25792540143095044,,,,,,,,,
49,49,2.521292925,-1.661217093,-10.53260708,5.801996708,2.568672195,-0.5032680035,-2.943278313,0.4907307625,2.585697143,-0.1272089481,0.3610870838,0.3764346242,0,0,0,1,32,,,-2.80017054808428,-10.89837351840249,6.168509216546009,-0.1071554115234772,0.13352910282792865,0.2110457778524368,-0.32104734063881923,-2.796196867826877,0.3801370096693726,,,,,,,,,
50,50,2.571292925,-3.272484064,-10.666605,5.957530022,2.618672195,1.397148132,5.242485523,-2.580090523,2.637230581,0.02741177008,-0.4098021686,-0.06528430432,0,0,0,1,32,,,-3.0639563959222214,-10.742380002038226,6.061472347196884,-0.008352590959134295,-0.24537075493734384,0.01623796846196293,0.5736965860333508,1.1270618504802337,-1.1738399514185185,,,,,,,,,
51,51,2.621292925,-1.120140076,-3.129812002,3.599403381,2.668672195,0.7212430239000001,1.263301849,-0.1987886429,2.688764018,0.5469373465,-1.552086473,0.32054209710000003,0,0,0,1,32,,,-1.978340129001863,-5.618684872285441,4.81238162819083,0.3993561192621253,-1.1566277091343249,0.2307669847044443,0.6505308468819825,1.1935534392016365,-0.6619849494836795,,,,,,,,,
52,52,2.671292925,-2.336292267,-7.013063908,5.660820007000001,2.718672195,-2.277878523,-4.36935997,1.931718349,2.7402975080000003,-0.03268032894,0.3733803928,-0.1272089481,0,0,0,1,32,,,-2.178255450000138,-6.557181982922072,5.242823065747602,0.08214341434195216,-0.08965460694752969,-0.021599702058651218,-0.8744274827308706,-1.5214124557687536,0.6995844320209449,,,,,,,,,
53,53,2.721292925,-6.0807604789999985,-11.72243786,7.544868946,2.768672195,0.4734458923,0.4661478996,0.2376084328,2.791830945,0.1033095419,0.03100049868,-0.1130831018,0,0,0,1,32,,,-4.357794173428372,-10.0336956080934,6.410728670232488,0.09768415081521244,-0.0055140378965604095,-0.08609387714375741,-0.17252741650462078,-0.5513886243568246,0.4570692700795816,,,,,,,,,
54,54,2.771292925,-1.4410774709999998,-7.0345993039999986,6.043671608,2.818672195,-1.039529324,0.4132900238,0.2226681709,2.843364383,0.01244601328,0.052914645520000005,-0.08719844370999999,0,0,0,1,32,,,-2.7288156195260704,-8.0151316850897,6.224508228735608,0.03510003254707855,0.03523204281129859,-0.08687257699272062,-0.6240154473915911,-0.08057963693197939,0.3340199761511289,,,,,,,,,
55,55,2.821292925,-3.140878916,-7.228717327000001,6.302395821,2.868672195,0.035036802289999995,0.1355085373,0.04703044891,2.894897873,-0.03710897267,-0.06192464009,-0.06887302547999999,0,0,0,1,32,,,-2.9589518791941094,-7.485829691861688,6.2640232339995086,-0.01791774861383844,-0.032521563997863365,-0.07418321225463452,-0.28081643014182744,0.024881652892454656,0.18336428887233852,,,,,,,,,
56,56,2.871292925,-1.967797518,-7.448856831,6.1875400539999985,2.918672195,-0.25202560420000003,0.2515516281,-0.044903755189999985,2.94643131,-0.03749075159,-0.13889139890000002,-0.06070294603999999,0,0,0,1,32,,,-2.40539479327977,-7.460944834452352,6.225220734467095,-0.032288770421716094,-0.10670009454881613,-0.06467986353778793,-0.2658237142269659,0.1355073640726433,0.06353455364570212,,,,,,,,,
57,57,2.921292925,-2.197508574,-7.3627152439999985,6.019743442999999,2.968672195,-0.2570140362,-0.031037807460000007,-0.053147315980000005,2.9979648,-0.001603474026,-0.1517955512,-0.029397023839999994,0,0,0,1,32,,,-2.2892908901090525,-7.394830683129762,6.120975166256599,-0.009758805851146544,-0.1381480582535109,-0.0398060870158628,-0.26123610702292105,0.05422541207602583,0.0022821886883790873,,,,,,,,,
