,Unnamed: 0,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman,Acceleration x (m/s^2)_kalman_max_freq,Acceleration y (m/s^2)_kalman_max_freq,Acceleration z (m/s^2)_kalman_max_freq,Gyroscope x (rad/s)_kalman_max_freq,Gyroscope y (rad/s)_kalman_max_freq,Gyroscope z (rad/s)_kalman_max_freq,Linear Acceleration x (m/s^2)_kalman_max_freq,Linear Acceleration y (m/s^2)_kalman_max_freq,Linear Acceleration z (m/s^2)_kalman_max_freq
34,34,1.92,-9.38,-4.36,6.28,0.101,-0.759,1.36,0.215,-0.0143,-3.97,1920000000.0,-8.905239393844434,-4.915434997161006,5.851252799085156,0.28315718238994336,-0.2602303712716485,1.1173615305197495,-1.7523535272667081,-0.7081676360500815,-3.1273280638723824,,,,,,,,,
35,35,1.97,-5.93,-4.22,2.41,-0.131,-0.502,1.16,-1.24,1.43,-1.75,1970000000.0,-7.0025001232776924,-4.4669422635270335,3.722253141358568,0.007297342008919404,-0.4197644159232019,1.1460797845281852,-1.4491755755044649,0.6668076291573899,-2.2966549815733983,,,,,,,,,
36,36,2.02,-7.03,-2.08,5.7,0.58,0.324,0.5529999999999999,-1.2,0.973,0.512,2020000000.0,-7.0200871086057015,-2.927580602965964,4.945825581367168,0.3887603878735966,0.07101583200774841,0.7466229042241272,-1.3017294791281224,0.8637084360749417,-0.6027418376711553,,,,,,,,,
37,37,2.07,-9.02,-2.37,5.75,-0.386,0.511,1.01,-2.35,-0.777,-2.95,2070000000.0,-8.299081147032519,-2.5679915317407813,5.443344131930872,-0.12728832376000634,0.3613436873797676,0.9240151998652044,-1.9220286856320103,-0.1913695419535809,-2.018384387479384,,,,,,,,,
38,38,2.12,-9.0,-4.49,3.51,-0.502,-0.08,1.38,-1.77,-0.198,-1.03,2120000000.0,-8.747336085049616,-3.807512799440079,4.247242200910648,-0.3768744740740502,0.07011872619252729,1.2311345122644444,-1.8320678486187436,-0.19563333979878653,-1.4222850623112635,,,,,,,,,
39,39,2.17,-8.65,-3.23,5.26,-0.243,0.129,1.42,-2.02,-0.302,-0.52,2170000000.0,-8.685087007882254,-3.4350693525459937,4.873805163463719,-0.2877040028939366,0.10897210794511013,1.3583410027847005,-1.9432740314040644,-0.26403373503803745,-0.8781126539171326,,,,,,,,,
40,40,2.22,-7.45,-2.87,4.83,-0.5579999999999999,-0.278,1.04,-0.379,1.24,-1.37,2220000000.0,-7.895218204499517,-3.0706507159824605,4.846704177798967,-0.4677414911768424,-0.1463752323767238,1.1439288500267824,-1.0176369898559772,0.7031538758356435,-1.1747722462053352,,,,,,,,,
41,41,2.27,-7.58,0.802,4.55,-0.6970000000000001,-0.632,0.937,-1.08,2.59,-0.684,2270000000.0,-7.693628319563885,-0.5731416994520644,4.663142335777724,-0.6204449238927308,-0.466819519200375,1.0045561034847177,-1.0545394449731955,1.9165136947128152,-0.8787851880160602,,,,,,,,,
42,42,2.32,-8.63,1.37,6.45,-0.6940000000000001,-1.2,0.611,0.0107,0.456,-2.35,2320000000.0,-8.292461235951476,0.6800087393384167,5.768617366660639,-0.6694381422401401,-0.9506158845308852,0.7394843715286461,-0.4241990607973408,0.9773121934816368,-1.7660817555015942,,,,,,,,,
43,43,2.37,-7.13,-1.62,4.05,-0.77,-1.69,0.332,-0.213,-1.27,-2.69,2370000000.0,-7.549038604695507,-0.8032886242245203,4.7053605575294455,-0.7364198924829204,-1.4385057853580183,0.4650315275965047,-0.299225001684974,-0.4678498586953687,-2.323301261596232,,,,,,,,,
