,Unnamed: 0,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Time (s).1,Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Time (s).2,Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Sitting,Walking,Running,Bikking,Unnamed: 16,Unnamed: 17,Unnamed: 18,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman,Acceleration x (m/s^2)_kalman_max_freq,Acceleration y (m/s^2)_kalman_max_freq,Acceleration z (m/s^2)_kalman_max_freq,Gyroscope x (rad/s)_kalman_max_freq,Gyroscope y (rad/s)_kalman_max_freq,Gyroscope z (rad/s)_kalman_max_freq,Linear Acceleration x (m/s^2)_kalman_max_freq,Linear Acceleration y (m/s^2)_kalman_max_freq,Linear Acceleration z (m/s^2)_kalman_max_freq
30,30,1.5009852819999998,-6.404090881,-6.967600346,3.889234066,1.643499709,3.971856594,2.474145889,0.92689991,1.64130372,-0.2078407854,0.4087331593,-1.83246541,0,0,0,1,,,,-7.173885090352521,-7.047403887140505,2.76322355045592,-0.1586253681688046,0.23204784422007435,-1.6736173434651578,3.229991880828448,1.8975757837000968,0.4539699077012609,,,,,,,,,
31,31,1.550985282,-3.4782667160000003,-5.231906891,3.1660034660000003,1.693499709,3.971856594,2.474145889,0.92689991,1.69130372,0.4173613787,-0.6777350307,-0.05230379477,0,0,0,1,,,,-5.202419894441673,-5.766409521983772,2.9538188141979886,0.30086516077669456,-0.42203679074080575,-0.4535403294026081,3.7550919952050172,2.3097612261903118,0.7926462846471074,,,,,,,,,
32,32,1.600985282,-2.07786727,-4.755435943999999,3.968197346,1.743499709,-2.678601742,-1.377543926,-2.290574789,1.74130372,0.4422534108,-0.8512920141,-0.19470755760000005,0,0,0,1,,,,-3.535595528704018,-5.053077877873537,3.4338222514547536,0.4136569257850281,-0.7306480581600842,-0.25876251133842204,-0.7987481548775093,-0.3262642824787933,-1.4153213586524067,,,,,,,,,
33,33,1.650985282,-9.600004196,-9.160622597,2.337787628,1.793499709,0.6868228912000001,1.604552746,1.315002203,1.79130372,0.1263690293,-0.1562241912,-0.2878617644,0,0,0,1,,,,-6.770715990455988,-7.951315468078661,2.915179190534673,0.18447445197349235,-0.31766839485973136,-0.28066039151912325,0.25275559275779313,1.0540616544219374,0.5399280171622849,,,,,,,,,
34,34,1.700985282,-9.600004196,-9.160622597,2.337787628,1.843499709,0.6868228912000001,1.604552746,1.315002203,1.84130372,-0.1021642014,-0.1294996142,-0.01847812906,0,0,0,1,,,,-8.280028549749318,-8.804589045915206,2.6419577786454784,-0.04419009143029506,-0.18238522831194964,-0.08336200208658953,0.5599932656172364,1.4476034143877357,1.0949770008566726,,,,,,,,,
35,35,1.7509852819999998,-4.517350197,-5.9237313270000005,5.529214859,1.893499709,0.6868228912000001,1.604552746,1.315002203,1.89130372,0.2938175201,0.2134147584,-0.7084301114,0,0,0,1,,,,-6.272789526462024,-6.771888076288162,4.0082064518308576,0.22545377985883275,0.10217353510875936,-0.5537406238043435,0.6497646885307244,1.5598052593988658,1.2525422598517335,,,,,,,,,
36,36,1.800985282,-6.413661957,-7.975576877999999,2.921935558,1.943499709,0.3519568443,-0.05694723129,-0.1114468575,1.94130372,0.4663055241,-0.7476006745999999,-0.7036960125,0,0,0,1,,,,-6.347939356697997,-7.621197425211237,3.4941835831801735,0.417592046878372,-0.5087681182547871,-0.66658562101421,0.4389729764333439,0.4040015950724893,0.275757344065078,,,,,,,,,
37,37,1.850985282,-5.290830135,-9.629914284,3.652045488,1.993499709,0.2161593437,-1.067935467,-1.4271912569999998,1.99130372,-0.2722088099,-0.4892886579,-0.7524874806,0,0,0,1,,,,-5.784013694719978,-9.038525563055211,3.5688837614088333,-0.1326931155252346,-0.4947634408038086,-0.7312288138621312,0.2812630032645064,-0.6482746559468577,-0.9437644873361648,,,,,,,,,
38,38,1.900985282,-4.414458752,-8.502297401,3.470191002,2.043499709,0.2161593437,-1.067935467,-1.4271912569999998,2.04130372,-0.6668161154,-0.06665870547,-0.8147175312,0,0,0,1,,,,-5.053410685806876,-8.660168972604616,3.522182394682672,-0.5587870509707881,-0.18697931200982115,-0.7940560597361461,0.23518190726072444,-0.9482868753261336,-1.2899578483903462,,,,,,,,,
39,39,1.950985282,-4.27567482,-8.830412865,2.914757013,2.093499709,0.2161593437,-1.067935467,-1.4271912569999998,2.09130372,0.2350998372,0.02405211143,-0.055205322800000005,0,0,0,1,,,,-4.638519580762571,-8.780291157827335,3.2347489939685983,0.07453221924389908,-0.03525914296757962,-0.2380533040182664,0.2217175247220471,-1.0338227141229208,-1.3882339432924624,,,,,,,,,
