,Unnamed: 0,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Still,Walk,Run,Cycle,Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman,Acceleration x (m/s^2)_kalman_max_freq,Acceleration y (m/s^2)_kalman_max_freq,Acceleration z (m/s^2)_kalman_max_freq,Gyroscope x (rad/s)_kalman_max_freq,Gyroscope y (rad/s)_kalman_max_freq,Gyroscope z (rad/s)_kalman_max_freq,Linear Acceleration x (m/s^2)_kalman_max_freq,Linear Acceleration y (m/s^2)_kalman_max_freq,Linear Acceleration z (m/s^2)_kalman_max_freq
66,66,3.35,0.314,-24.2,4.02,0.444,0.0177,2.37,3.31,-17.1,-2.03,0,1,0,0,3350000000.0,0.30358727399999996,-16.03546349,5.54881359,0.157379454,0.36329772,1.720857827,2.687822045,-8.873919666,-0.655522935,,,,,,,,,
67,67,3.4,7.6,-2.33,-2.38,-0.9329999999999999,2.27,-0.929,10.8,4.67,-8.46,0,1,0,0,3400000000.0,2.81508331,-9.561219332,2.171444448,-0.69487191,1.4938037069999999,-0.312768531,5.80915241,-2.592439009,-4.510688181,,,,,,,,,
68,68,3.45,-5.79,-19.5,-5.1,-1.54,3.25,-0.574,-2.06,-12.0,-10.2,0,1,0,0,3450000000.0,-0.146869861,-14.25614208,-0.9259106779999999,-1.355432336,2.5350729519999997,-0.513249928,2.7813313060000002,-6.955534296000001,-7.321028473999999,,,,,,,,,
69,69,3.5,-3.62,-9.55,1.45,-1.31,3.06,0.161,0.995,-1.78,-2.36,0,1,0,0,3500000000.0,-1.34235492,-12.03303511,0.086135747,-1.3199219290000002,2.846308281,0.004201385,2.094002942,-4.5551938210000005,-4.870437011,,,,,,,,,
70,70,3.55,-2.72,-6.31,-0.893,-0.943,1.56,-0.7120000000000001,2.07,1.77,-3.71,0,1,0,0,3550000000.0,-1.816553736,-9.329563837,-0.330938358,-1.025316044,2.08364108,-0.545445473,2.084767282,-1.6216573509999999,-4.297217788999999,,,,,,,,,
71,71,3.6,-1.37,-10.3,1.06,-0.517,2.06,-0.5870000000000001,3.38,-1.97,-1.01,0,1,0,0,3600000000.0,-1.662845608,-9.787982618,0.261547766,-0.628011223,2.069623974,-0.577336394,2.5831352290000003,-1.783213815,-2.673435998,,,,,,,,,
72,72,3.65,-3.32,-7.87,0.273,-0.11,1.69,-0.851,1.29,0.6509999999999999,-1.24,0,1,0,0,3650000000.0,-2.233254209,-8.881957919,0.266425977,-0.22312853800000002,1.844540531,-0.7873588090000001,2.085574364,-0.6542594629999999,-1.9653638830000002,,,,,,,,,
73,73,3.7,-5.16,-9.85,0.733,-0.23600000000000002,1.36,-0.498,-0.768,-1.15,-0.365,0,1,0,0,3700000000.0,-3.24066846,-9.339245863,0.465168525,-0.233189001,1.557250813,-0.565291157,0.9876018870000001,-0.8841769840000001,-1.174834664,,,,,,,,,
74,74,3.75,-4.07,-10.9,1.92,-0.00519,0.9520000000000001,-0.431,0.17300000000000001,-2.07,1.16,0,1,0,0,3750000000.0,-3.5261324839999997,-10.07652125,1.0848706609999998,-0.054982732,1.1983905670000001,-0.462229761,0.674166755,-1.4341450919999998,-0.021500084,,,,,,,,,
75,75,3.8,-4.14,-11.6,5.09,0.778,1.05,-0.166,-0.0275,-2.73,4.42,0,1,0,0,3800000000.0,-3.737431594,-10.79618869,2.790901507,0.59608479,1.110408042,-0.23488901399999998,0.40418578200000005,-2.035144493,2.172460746,,,,,,,,,
76,76,3.85,-5.23,-12.8,3.98,2.5,0.677,1.05,-1.02,-4.03,2.89,0,1,0,0,3850000000.0,-4.251188131,-11.74275754,3.297411657,2.084203707,0.853435356,0.751195607,-0.143799505,-2.96033069,2.5269025309999997,,,,,,,,,
77,77,3.9,3.67,-17.0,0.7659999999999999,4.13,-0.128,1.06,8.47,-8.83,-1.64,0,1,0,0,3900000000.0,-1.524638278,-14.22619571,2.219127815,3.6832183689999995,0.27153089399999997,0.988186673,3.1705402819999997,-5.682601233,0.46858426700000005,,,,,,,,,
78,78,3.95,-1.9,-15.1,0.625,2.82,-1.11,0.318,3.05,-7.63,-3.35,0,1,0,0,3950000000.0,-1.653841417,-14.63896721,1.5400907869999998,3.0085183210000004,-0.547594879,0.473853684,3.124159867,-6.585777612999999,-1.4176757340000001,,,,,,,,,
