,Unnamed: 0,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Still,Walk,Run,Cycle,SPM/RPM,Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman,Acceleration x (m/s^2)_kalman_max_freq,Acceleration y (m/s^2)_kalman_max_freq,Acceleration z (m/s^2)_kalman_max_freq,Gyroscope x (rad/s)_kalman_max_freq,Gyroscope y (rad/s)_kalman_max_freq,Gyroscope z (rad/s)_kalman_max_freq,Linear Acceleration x (m/s^2)_kalman_max_freq,Linear Acceleration y (m/s^2)_kalman_max_freq,Linear Acceleration z (m/s^2)_kalman_max_freq
37,37,1.9,-0.8,1.32,3.25,-0.992,-0.198,-0.562,0.925,6.31,-5.02,,,,,140,1900000000.0,-4.553028654032686,-0.9465802125474888,4.203208973950684,-1.3986124134115387,-0.2613111026734478,-0.4875058109518101,-2.4920085367151072,3.712128687197807,-4.494971754593267,,,,,,,,,
38,38,1.95,-4.9,-0.632,0.503,0.763,0.7020000000000001,-0.7759999999999999,-3.28,4.53,-7.68,,,,,140,1950000000.0,-4.683645855464704,-0.7725193223897209,2.7353410578576107,0.016978745828179598,0.05522008214419921,-0.6579129455369701,-2.787838472475477,4.1936206551444135,-5.825819555056665,,,,,,,,,
39,39,2.0,-14.4,-5.1,-0.124,1.29,0.486,0.75,-12.6,-0.37,-8.5,,,,,140,2000000000.0,-8.341361694477168,-3.16696487836802,1.6010443058719148,0.8506515903251419,0.196768616946854,0.17371001557540344,-6.4715475833575775,1.5069557796031536,-6.943212268964532,,,,,,,,,
40,40,2.05,-8.0,-8.84,8.73,1.8,-0.0782,2.56,-5.69,-4.79,0.101,,,,,140,2050000000.0,-8.212856279053993,-6.3059215630040715,4.429091262064525,1.4723583925346662,0.10641759835151043,1.5832385674826095,-6.178136837660478,-2.20014677649131,-3.9998239559677007,,,,,,,,,
41,41,2.1,-19.8,-15.2,5.52,0.772,-0.0874,0.49,-17.2,-12.1,-3.41,,,,,140,2100000000.0,-12.574829644773686,-11.227118949462492,4.861853283927768,1.0137095078196237,0.042731722137629824,0.9374867902557776,-10.315995643601704,-8.028323773569838,-3.753369048174818,,,,,,,,,
42,42,2.15,-17.9,-1.3,5.37,1.38,-1.49,3.38,-15.4,1.06,-3.82,,,,,140,2150000000.0,-14.579486847816653,-5.734328048465545,5.0634343575067815,1.2535848757309975,-0.4609034779977204,2.3802252561916566,-12.2246465541659,-2.6779053392008603,-3.781210425011216,,,,,,,,,
43,43,2.2,-9.12,3.48,6.52,1.11,-1.69,2.46,-7.23,4.87,-3.0,,,,,140,2200000000.0,-12.524266090968547,-0.6359326950171829,5.641251981721191,1.1595543926999266,-0.8647682175802299,2.4273464511505334,-10.349542462162436,1.7656480063711264,-3.4547856175203733,,,,,,,,,
44,44,2.25,-0.0431,-0.718,5.3,2.04,-0.13,1.42,1.6,-0.271,-4.36,,,,,140,2250000000.0,-7.825738225926071,-0.6813414906000415,5.505877855107046,1.7361383119786808,-0.6233331816451533,1.8323292116849736,-5.863411991137759,0.5666459278552379,-3.8330249044794855,,,,,,,,,
45,45,2.3,-0.5770000000000001,-2.38,-0.56,0.274,0.691,-0.589,1.65,-1.04,-4.35,,,,,140,2300000000.0,-5.096954858405967,-1.6212291494077389,3.0995522656280143,0.7786169451748743,-0.1914608365907371,0.4021037392016633,-3.0427059760476096,-0.3792081211520749,-4.049040282026612,,,,,,,,,
46,46,2.35,-5.33,-1.58,1.09,-1.26,-0.259,-0.223,-3.45,-1.56,-8.53,,,,,140,2350000000.0,-5.184684540479923,-1.5984166031833245,2.302365597273893,-0.556427245903202,-0.21365330580027306,0.03286881717765966,-3.1956134490805304,-1.0743561513903117,-5.921386425036482,,,,,,,,,
