Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Still,Walk,Run,Cycle,SPM/RPM,Timestamps
6.40E+00,-6.35E+00,-3.17E+00,3.69E+00,4.15E-01,1.08E+00,-1.31E-01,-8.40E+00,6.28E+00,5.26E+00,,,,,150,6.40E+09
6.45E+00,-4.42E+00,1.39E-01,1.81E+00,1.07E+00,5.99E-01,1.53E+00,-6.23E+00,9.71E+00,2.95E+00,,,,,150,6.45E+09
6.50E+00,1.89E+00,2.57E+00,4.04E+00,1.97E+00,-4.61E-01,1.89E+00,9.75E-01,1.23E+01,4.54E+00,,,,,150,6.50E+09
6.55E+00,4.26E-01,-4.31E+00,3.45E+00,2.02E+00,4.69E-01,1.29E+00,2.72E-01,5.48E+00,2.92E+00,,,,,150,6.55E+09
6.60E+00,-8.05E+00,-6.10E+01,-2.15E+00,1.62E+00,-4.33E-01,4.86E+00,-7.18E+00,-5.14E+01,-3.85E+00,,,,,150,6.60E+09
6.65E+00,-4.47E+00,-1.82E+01,-3.65E+00,2.05E+00,1.36E+00,2.43E+00,-1.58E+00,-9.10E+00,-5.88E+00,,,,,150,6.65E+09
6.70E+00,2.22E+00,-3.91E+00,-5.84E+00,-6.30E-01,-2.92E+00,9.96E-01,5.91E+00,4.75E+00,-8.60E+00,,,,,150,6.70E+09
6.75E+00,7.21E+00,1.30E+00,-8.84E+00,-1.52E+00,-2.92E-01,-1.44E+00,1.06E+01,1.01E+01,-1.16E+01,,,,,150,6.75E+09
6.80E+00,1.55E+00,4.29E+00,8.21E+00,-9.44E-02,-5.56E-01,-2.22E+00,4.06E+00,1.36E+01,6.21E+00,,,,,150,6.80E+09
6.85E+00,-5.61E+00,-6.44E+00,1.08E+01,2.12E+00,-2.61E+00,9.86E-01,-4.09E+00,2.85E+00,8.11E+00,,,,,150,6.85E+09
6.90E+00,1.79E+00,-2.59E+00,8.16E-01,-1.04E+00,4.52E+00,1.90E+00,4.55E+00,6.43E+00,-1.84E+00,,,,,150,6.90E+09
6.95E+00,7.01E+00,-1.07E+01,-1.63E+01,5.26E-01,-3.41E+00,-7.14E-02,1.03E+01,-1.91E+00,-1.93E+01,,,,,150,6.95E+09
7.00E+00,6.87E+00,-2.90E+01,2.83E-01,-2.18E+00,3.17E+00,-4.27E+00,9.24E+00,-1.98E+01,-2.01E+00,,,,,150,7.00E+09
7.05E+00,-4.90E+00,-2.85E+01,-8.84E+00,-2.69E+00,-2.69E+00,-2.25E+00,-4.13E+00,-1.89E+01,-1.06E+01,,,,,150,7.05E+09
7.10E+00,-1.38E+01,-1.81E+01,1.35E+01,-2.73E+00,3.66E+00,1.12E-01,-1.37E+01,-8.25E+00,1.34E+01,,,,,150,7.10E+09
7.15E+00,-6.37E+00,-7.68E+00,5.57E+00,-1.38E+00,3.19E-01,-1.70E+00,-6.55E+00,2.09E+00,6.45E+00,,,,,150,7.15E+09
7.20E+00,-6.02E+00,-2.61E-01,6.30E+00,1.68E-01,-3.56E-01,3.02E-01,-6.71E+00,9.44E+00,7.54E+00,,,,,150,7.20E+09
7.25E+00,-3.11E+00,5.05E-01,1.69E+00,1.07E+00,-4.10E-01,1.92E+00,-3.33E+00,1.03E+01,2.62E+00,,,,,150,7.25E+09
7.30E+00,3.23E+00,2.02E+00,2.62E+00,2.34E+00,2.86E-01,1.93E+00,4.08E+00,1.18E+01,2.80E+00,,,,,150,7.30E+09
7.35E+00,-9.29E-01,-5.45E+00,4.83E+00,1.46E+00,-1.48E+00,1.76E+00,7.54E-01,4.18E+00,4.02E+00,,,,,150,7.35E+09
7.40E+00,-1.64E+01,-6.21E+01,-3.79E+00,1.11E+00,1.87E+00,5.27E+00,-1.34E+01,-5.30E+01,-5.76E+00,,,,,150,7.40E+09
7.45E+00,-6.31E+00,-1.34E+01,-4.04E+00,1.33E+00,-6.11E-03,2.40E+00,-1.36E+00,-5.28E+00,-6.27E+00,,,,,150,7.45E+09
7.50E+00,1.30E+00,-3.00E+00,-4.66E+00,-8.85E-01,-2.90E+00,3.64E-01,6.74E+00,4.71E+00,-7.32E+00,,,,,150,7.50E+09
7.55E+00,8.60E+00,8.38E-02,-7.08E+00,-1.21E+00,9.49E-01,-2.34E+00,1.35E+01,8.10E+00,-9.88E+00,,,,,150,7.55E+09
7.60E+00,1.81E+00,4.76E+00,1.20E+01,-8.16E-02,-5.59E-01,-2.96E+00,5.69E+00,1.36E+01,1.01E+01,,,,,150,7.60E+09
